iter	Passed	Remaining
990	11733	106
991	11746	94
992	11764	82
993	11779	71
994	11792	59
995	11803	47
996	11825	35
997	11835	23
998	11845	11
999	11857	0
